Name;Essentials;Product Collection;Vertical Segment;Processor Number;Off Roadmap;Status;Launch Date;Lithography;Use Conditions;Recommended Customer Price;Performance;# of Cores;# of Threads;Processor Base Frequency;Max Turbo Frequency;Cache;# of UPI Links;TDP;Supplemental Information;Embedded Options Available;Datasheet;Memory Specifications;Memory Types;Maximum Memory Speed;Max # of Memory Channels;Max Memory Size (dependent on memory type);ECC Memory Supported ‡;IntelÂ® Optaneâ„¢ DC Persistent Memory Supported;Package Specifications;Max CPU Configuration;Sockets Supported;TCASE;Package Size;Advanced Technologies;Intel® Speed Shift Technology;Intel® Turbo Boost Technology ‡;Intel® Hyper-Threading Technology ‡;Intel® Virtualization Technology (VT-x) ‡;Intel® Transactional Synchronization Extensions;Intel® 64 ‡;Instruction Set Extensions;# of AVX-512 FMA Units;Intel® Volume Management Device (VMD);IntelÂ® Deep Learning Boost (IntelÂ® DL Boost);IntelÂ® Speed Select Technology - Performance Profile;IntelÂ® Speed Select Technology - Base Frequency;IntelÂ® Resource Director Technology (IntelÂ® RDT);IntelÂ® Turbo Boost Max Technology 3.0 ‡;IntelÂ® vProâ„¢ Platform Eligibility ‡;IntelÂ® Virtualization Technology for Directed I/O (VT-d) ‡;IntelÂ® VT-x with Extended Page Tables (EPT) ‡;Enhanced Intel SpeedStepÂ® Technology;Security & Reliability;Intel® Trusted Execution Technology ‡;Intel® Run Sure Technology;Mode-based Execute Control (MBE);IntelÂ® AES New Instructions;Execute Disable Bit ‡;Expansion Options;Scalability;PCI Express Revision;Max # of PCI Express Lanes
Intel® Xeon® Platinum 9282 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;9282;No;Launched;Q2'19;14 nm;;;;56;112;2.60 GHz;3.80 GHz;77 MB Intel® Smart Cache;4;400 W;;No;View now;;DDR4-2933;2933 MHz;12;;;;;2;;;;;Yes;2;Yes;Yes;Yes;Yes;Intel® AVX-512;2;Yes;;;;;;;;;;;Yes;Yes;Yes;;;;;;
Intel® Xeon® Platinum 9242 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;9242;No;Launched;Q2'19;14 nm;;;;48;96;2.30 GHz;3.80 GHz;71.5 MB Intel® Smart Cache;4;350 W;;No;View now;;DDR4-2933;2933 MHz;12;;;;;2;;;;;Yes;2;Yes;Yes;Yes;Yes;Intel® AVX-512;2;Yes;;;;;;;;;;;Yes;Yes;Yes;;;;;;
Intel® Xeon® Platinum 9222 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;9222;No;Launched;Q3'19;14 nm;;;;32;64;2.30 GHz;3.70 GHz;71.5 MB;4;250 W;;No;View now;;DDR4-2933;2933 MHz;12;;;;;2;;;;;Yes;2;Yes;Yes;Yes;Yes;Intel® AVX-512;2;Yes;;;;;;;;;;;Yes;Yes;Yes;;;;;;
Intel® Xeon® Platinum 9221 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;9221;No;Launched;Q3'19;14 nm;;;;32;64;2.30 GHz;3.70 GHz;71.5 MB;4;250 W;;No;View now;;DDR4-2933;2933 MHz;12;;;;;2;;;;;Yes;2;Yes;Yes;Yes;Yes;Intel® AVX-512;2;Yes;;;;;;;;;;;Yes;Yes;Yes;;;;;;
Intel® Xeon® Platinum 8280L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8280L;No;Launched;Q2'19;14 nm;;$13012.00;;28;56;2.70 GHz;4.00 GHz;38.5 MB;3;205 W;;No;;;DDR4-2933;2933 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;84°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8280 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8280;No;Launched;Q2'19;14 nm;;$10009.00;;28;56;2.70 GHz;4.00 GHz;38.5 MB;3;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;84°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8276L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8276L;No;Launched;Q2'19;14 nm;;$11722.00;;28;56;2.20 GHz;4.00 GHz;38.5 MB;3;165 W;;No;;;DDR4-2933;2933 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;89°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8276 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8276;No;Launched;Q2'19;14 nm;;$8719.00;;28;56;2.20 GHz;4.00 GHz;38.5 MB;3;165 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;89°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8270 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8270;No;Launched;Q2'19;14 nm;;$7405.00;;26;52;2.70 GHz;4.00 GHz;35.75 MB;3;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;84°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8268 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8268;No;Launched;Q2'19;14 nm;;$6302.00;;24;48;2.90 GHz;3.90 GHz;35.75 MB;3;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;84°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8260Y Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8260Y;No;Launched;Q2'19;14 nm;;$5320.00;;24;48;2.40 GHz;3.90 GHz;35.75 MB;3;165 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;90°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8260L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8260L;No;Launched;Q2'19;14 nm;;$7705.00;;24;48;2.40 GHz;3.90 GHz;35.75 MB;3;165 W;;No;;;DDR4-2933;2933 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;90°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8260 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8260;No;Launched;Q2'19;14 nm;;$4702.00;;24;48;2.40 GHz;3.90 GHz;35.75 MB;3;165 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;90°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8256 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8256;No;Launched;Q2'19;14 nm;;$7007.00 - $7014.00;;4;8;3.80 GHz;3.90 GHz;16.5 MB;3;105 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;72°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Platinum 8253 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;8253;No;Launched;Q2'19;14 nm;;$3115.00;;16;32;2.20 GHz;3.00 GHz;22 MB;3;125 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;87°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S8S;3;48
Intel® Xeon® Gold 6262V Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6262V;No;Launched;Q2'19;14 nm;;$2900.00;;24;48;1.90 GHz;3.60 GHz;33 MB;3;135 W;;No;;;DDR4-2400;2400 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;91°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;No;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6258R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6258R;No;Launched;Q1'20;14 nm;;$3950.00;;28;56;2.70 GHz;4.00 GHz;38.5 MB;2;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;74°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6256 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6256;No;Launched;Q1'20;14 nm;;$3900.00;;12;24;3.60 GHz;4.50 GHz;33 MB;3;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;64°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S4S;3;48
Intel® Xeon® Gold 6254 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6254;No;Launched;Q2'19;14 nm;;$3803.00;;18;36;3.10 GHz;4.00 GHz;24.75 MB;3;200 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;82°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6252N Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6252N;No;Launched;Q2'19;14 nm;;$1788.00;;24;48;2.30 GHz;3.60 GHz;35.75 MB;3;150 W;;Yes;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;74°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6252 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6252;No;Launched;Q2'19;14 nm;;$3655.00 - $3662.00;;24;48;2.10 GHz;3.70 GHz;35.75 MB;3;150 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;86°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6250L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6250L;No;Launched;Q1'20;14 nm;;$6404.00;;8;16;3.90 GHz;4.50 GHz;35.75 MB;3;185 W;;No;;;DDR4-2933;2933 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;60°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S4S;3;48
Intel® Xeon® Gold 6250 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6250;No;Launched;Q1'20;14 nm;;$3400.00;;8;16;3.90 GHz;4.50 GHz;35.75 MB;3;185 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;60°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S4S;3;48
